Phase,Theoretical_Minimum_Cost,Simulated_Steady_State_Cost,Absolute_Error,Relative_Error_percent
Phase 1,5641.405582,5641.16117786228,0.244404137721176,0.00433232700908786
Phase 2,4682.3228965,4681.56707621266,0.755820287340612,0.0161419941351243
Phase 3,4907.8126509,4908.8004857357,0.987834835703325,0.0201278024645495
